id,name,aliases
04601,Nifty 50,NIFTY|NIFTY50|INDIA50|IND50|NSEI|FINNIFTY|IN50
04701,Nikkei 225,NKY|N225|JPN225|JP225|JAPAN225|NIKKEI|NIKKEI225|NK|NI225|NIY
04801,NZX 50,NZ50|NEWZEALAND50|NZE|NZ
04901,OMX Copenhagen 25,OMXC25|DENMARK25|DEN25|COPENHAGEN25|NETH25
05001,OMX Helsinki 25,OMXH25|FINLAND25|FIN25|HELSINKI25
05101,OMX Stockholm 30,OMXS30|SWEDEN30|SWE30|STOCKHOLM30
05201,Philadelphia Bank,BKX|BANKING|BANKS|FINANCIAL
05301,PHLX Gold/Silver,GOLDSILVER|PRECIOUS|XGD
05401,PHLX Housing,HGX|HOUSING|REALESTATE
05501,PHLX Oil Service,OSX|OILSERVICE|ENERGY
05601,PHLX Semiconductor,SOX|SOXX|SEMICONDUCTOR|SEMICON
05701,PHLX Utility,UTY|UTILITY|UTILITIES|UTIL
05801,PSI 20,PSI20|PORTUGAL20|POR20|LISBON20
05901,QE Index,QE|QATAR|DOHA|GNRI
06001,Rogers International,RJI|ROGERS|COMMODITY|INTERNATIONAL
06101,Russell 2000,RUT|RTY|RU2000|US2000|RUSS2000|RUT2000|QR|M2K|RTY|RUTF
06201,S&P 400 MidCap,MID|MDY|SP400|MID400|MIDCAP400|EMD|EW|MIDF
06301,S&P 500,SPX|SPXUSD|SP500|US500|SPX500|SPCUSD|INX|GSPC|ES|MES|ESF|SPXF|SP
06401,Sensex,SENSEX|BSE|BSESN|MUMBAI|INDIA|BSX
06501,SET Index,SET|THAI|THAILAND|TH
06601,Shanghai Composite,SHCOMP|SSE|000001|SHANGHAI|CHN|SSEC
06701,Shenzhen Component,SZCOMP|399001|SHENZHEN|SZI
06801,Straits Times,STI|SINGAPORE|SG30|SGPD|SG
06901,Swiss Franc Index,SXY|CHFX|FRANC|SWISS
07001,Swiss Market Index,SMI|SWI20|SWISS20|SWITZERLAND20|FSMI|SMI1|SWIS520
07101,TA-35,TA35|ISRAEL35|TEL35|TELAVIV35
07201,Tadawul All Share,TASI|SAUDI|SAUDIARABIA|RIYADH
07301,Taiwan Weighted,TWII|TW|TAIWAN|TWSE|Y9999
07401,US Dollar Index,DXY|USDX|DOLLAR|USDINDEX
07501,VIX Volatility Index,VIX|VX|CBOE|VIXUSD|VI|VIXY
07601,WIG20,WIG20|POLAND20|POL20|WARSAW20|FW2017701
